yr,team,att,yds allowed,ypc
2019,CLE,22.1,109.6,4.959276018
2019,CIN,24.3,111.3,4.580246914
2019,GNB,22.5,109.3,4.857777778
2019,LAC,22.6,97.1,4.296460177
2019,ARI,23.6,99.4,4.211864407
2019,SEA,19.3,82.4,4.269430052
2019,NYG,24.6,97.4,3.959349593
2019,TEN,21.5,86,4
2019,CHI,23.2,90.3,3.892241379
2019,LAR,23.1,96.9,4.194805195
2019,LVR,20.8,79.5,3.822115385
2019,MIN,22.6,99.1,4.384955752
2019,BUF,20.1,87.9,4.373134328
2019,DAL,20.3,82.2,4.049261084
2019,ATL,21.4,90.1,4.210280374
2019,DEN,23.6,94.2,3.991525424
2019,NYJ,20.9,66.3,3.172248804
2019,BAL,18.5,81.8,4.421621622
2019,PHI,18.7,69.6,3.721925134
2019,PIT,23.9,92.9,3.887029289
2019,IND,19.3,77.8,4.031088083
2019,NOR,17.8,64.9,3.646067416
2019,SFO,19.4,81.8,4.216494845
2019,TAM,18.8,56.7,3.015957447
2019,NWE,18.8,76.1,4.04787234
2020,DET,25.1,115.9,4.61752988
2020,HOU,26.2,145.8,5.564885496
2020,JAX,26.3,126.9,4.825095057
2020,LVR,22.3,106.4,4.771300448
2020,MIN,24.2,113.6,4.694214876
2020,GNB,20.9,91.6,4.38277512
2020,CIN,23.5,125.8,5.353191489
2020,TEN,21.8,99.5,4.564220183
2020,DAL,26.2,127.3,4.858778626
2020,KAS,22.4,101.1,4.513392857
2020,DEN,22.1,100.9,4.56561086
2020,NWE,23.8,110.3,4.634453782
2020,BUF,21.5,96.9,4.506976744
2020,NYG,20.6,87,4.223300971
2020,ARI,21.7,95.3,4.391705069
2020,CAR,20.1,97.5,4.850746269
2020,NYJ,22.1,90.5,4.095022624
2020,SEA,18.8,73.5,3.909574468
2020,LAC,20.8,95.3,4.581730769
2020,PHI,23.3,87.2,3.74248927
2020,MIA,20.8,91.9,4.418269231
2020,BAL,19.8,88.8,4.484848485
2020,CHI,23.2,96.6,4.163793103
2020,IND,19.6,73.1,3.729591837
2020,CLE,20.1,82.4,4.099502488
2020,SFO,19.8,74,3.737373737
2020,PIT,21.3,85.3,4.004694836
2020,ATL,18.3,70.6,3.857923497
2020,WAS,21.3,83.4,3.915492958
2020,LAR,20.1,76.1,3.786069652
2020,TAM,17.8,60.3,3.387640449
2020,NOR,19.8,76.8,3.878787879
2021,NYJ,25.5,117.6,4.611764706
2021,SEA,26.9,102,3.791821561
2021,DET,25.5,107.7,4.223529412
2021,HOU,26.4,125.6,4.757575758
2021,LAC,26,118.8,4.569230769
2021,LVR,23.1,100.4,4.346320346
2021,ATL,23.3,93.1,3.995708155
2021,PIT,22.6,105.5,4.668141593
2021,JAX,23.8,93.3,3.920168067
2021,NYG,23.4,104.3,4.457264957
2021,PHI,22.2,94.9,4.274774775
2021,SFO,21.1,83.3,3.947867299
2021,MIN,22.7,101,4.449339207
2021,NWE,22.2,99.8,4.495495495
2021,CIN,18.3,74,4.043715847
2021,KAS,19.1,85.1,4.455497382
2021,CHI,23.1,100.5,4.350649351
2021,CLE,20.8,84.1,4.043269231
2021,IND,19.4,81,4.175257732
2021,DEN,19.8,86.8,4.383838384
2021,MIA,19.8,84.8,4.282828283
2021,BUF,21.3,88.3,4.145539906
2021,GNB,18.8,75.2,4
2021,WAS,17.5,63.8,3.645714286
2021,LAR,21.8,81.5,3.73853211
2021,ARI,19.9,92.8,4.663316583
2021,BAL,18.5,71.6,3.87027027
2021,TAM,16.3,63.8,3.914110429
2021,TEN,18.5,74.2,4.010810811
2021,CAR,22.9,98.2,4.288209607
2021,DAL,19,82.6,4.347368421
2021,NOR,20.8,70.2,3.375
